jud,rural,roma,II1,II8,II10,II13,II15,V4,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,VII1_3,VII2_3
SIBIU,1,,25,3,2,3,1,2,1,1,0,0,1,0,0,0
SATU MARE,0,0.0118774264346511,48,1,1,3,3,2,1,0,0,0,1,0,0,0
SIBIU,1,,60,1,2,1,1,2,0,1,0,0,0,0,0,0
ILFOV,1,,69,1,4,1,1,1,1,0,1,1,1,1,1,1
SUCEAVA,1,,1,4,4,1,2,2,0,1,1,0,1,0,0,0
CLUJ,1,,40,1,4,1,1,3,,,,,,,0,0
CLUJ,0,0.00995949288436951,25,4,3,3,3,3,,,,,,,0,0
CONSTANTA,0,0.0510133465150766,51,1,2,2,1,3,,,,,,,0,0
BRASOV,1,,30,3,3,1,1,2,1,1,0,0,0,1,0,0
GALATI,0,0.0395961714960011,19,3,1,2,3,3,,,,,,,1,1
CONSTANTA,1,,47,3,1,3,3,3,,,,,,,0,0
GORJ,0,0.0311957209409329,9,3,2,1,1,1,0,0,0,0,1,0,0,0
OLT,0,0.063013698630137,50,4,4,2,1,5,,,,,,,0,0
SUCEAVA,0,0.00655174607213282,19,1,2,2,1,3,,,,,,,0,0
TIMIS,0,0.00720063761371236,50,1,2,2,1,2,0,0,0,0,0,0,0,0
VASLUI,0,0.0158615004122012,90,2,1,1,1,2,0,0,0,0,1,0,0,0
ILFOV,1,,89,1,2,2,3,3,,,,,,,0,0
VALCEA,0,0.012389446579841,65,1,2,1,1,2,0,0,1,0,0,0,0,0
ILFOV,1,,31,2,1,1,1,3,,,,,,,0,0
GALATI,1,,23,2,3,1,3,1,0,0,0,0,1,0,0,0
BIHOR,1,,16,2,1,3,2,3,,,,,,,0,0
TULCEA,1,,10,2,1,3,3,3,,,,,,,0,0
CLUJ,0,0.0523026895727634,29,3,2,3,1,2,0,0,0,0,1,1,0,0
DAMBOVITA,1,,40,3,3,3,2,1,0,1,0,0,1,0,0,0
ARGES,1,,25,2,1,3,2,3,,,,,,,0,0
TIMIS,1,,34,2,2,2,1,3,,,,,,,0,0
GORJ,1,,89,2,1,2,1,3,,,,,,,0,1
NEAMT,0,0.00907256988547215,7,1,1,1,1,2,1,1,1,0,1,1,0,0
ARAD,0,0.015784484603859,89,4,3,3,3,5,,,,,,,0,0
BRASOV,1,,31,2,2,2,3,1,1,0,0,0,1,1,0,0
SUCEAVA,0,0.00655174607213282,10,1,3,2,3,2,1,0,1,0,1,0,0,0
NEAMT,1,,77,1,3,3,4,2,0,1,0,1,1,0,0,0
VALCEA,1,,15,2,2,1,1,1,0,0,1,0,0,0,1,0
BRASOV,0,0.00321409129212436,35,2,3,2,3,2,1,0,1,1,0,0,1,0
BISTRITA-NASAUD,1,,25,2,1,1,3,3,,,,,,,0,0
HARGHITA,1,,10,2,1,3,3,2,1,1,1,1,1,1,0,0
ARAD,0,0.015784484603859,25,2,1,2,1,3,,,,,,,0,0
CONSTANTA,0,0.00791259257216147,26,1,2,1,3,1,1,0,1,1,1,0,0,0
BRASOV,0,0.00321409129212436,9,1,2,3,3,3,,,,,,,0,0
PRAHOVA,1,,20,1,2,2,1,1,1,1,0,0,0,0,0,0
VASLUI,0,0.0130322995339868,30,2,1,3,3,2,1,1,0,1,1,0,0,0
TIMIS,0,0.00720063761371236,10,2,1,3,3,3,,,,,,,0,0
IASI,0,0.00461806716354316,5,1,3,3,1,1,1,1,1,0,1,0,0,0
ILFOV,1,,71,1,3,2,3,2,0,0,0,0,1,0,0,0
TELEORMAN,1,,91,2,2,1,1,3,,,,,,,0,0
ARGES,1,,11,3,2,2,1,2,1,0,1,0,1,0,0,0
BACAU,1,,50,2,1,3,3,2,1,1,0,0,1,1,0,0
IASI,1,,23,4,4,1,1,3,,,,,,,0,0
ILFOV,1,,26,1,4,3,3,3,,,,,,,0,0
BUZAU,1,,35,2,4,3,3,3,,,,,,,0,0
COVASNA,1,,20,2,1,1,3,2,1,0,0,0,0,0,0,0
BOTOSANI,1,,12,3,1,3,3,5,,,,,,,0,0
BOTOSANI,1,,15,2,2,1,1,3,,,,,,,0,0
ILFOV,0,0.017516543402102,34,3,3,1,3,2,1,0,0,0,1,0,0,0
