jud,rural,roma,II1,II13,II15,V4,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,VII1_3,VII2_3
IALOMITA,1,,57,1,3,5,,,,,,,0,1
BUZAU,0,0.0456143778081657,17,3,3,1,0,0,1,0,0,0,0,0
TIMIS,1,,50,3,2,2,1,0,0,0,0,0,0,0
CLUJ,1,,40,1,1,3,,,,,,,0,0
ILFOV,1,,30,1,2,2,1,1,1,0,1,1,0,0
ILFOV,1,,3,3,3,3,,,,,,,0,0
OLT,1,,15,3,3,4,,,,,,,0,0
ILFOV,1,,89,2,1,1,0,1,0,0,1,0,0,0
CLUJ,0,0.00995949288436951,19,1,3,2,1,1,1,0,1,0,0,0
GALATI,0,0.00369458128078818,100,3,1,1,0,0,1,0,0,0,0,0
NEAMT,0,0.00907256988547215,20,2,1,2,0,0,0,0,0,1,0,0
PRAHOVA,1,,20,3,1,2,1,1,1,1,1,1,0,0
BIHOR,1,,5,1,1,2,0,0,0,1,1,0,0,0
IASI,0,0.00461806716354316,48,1,3,2,0,0,0,0,1,0,0,0
BRASOV,0,0.0102453325104151,5,2,1,2,1,1,1,0,1,0,0,0
VALCEA,1,,32,2,1,3,,,,,,,0,0
HUNEDOARA,0,0.0119294524927098,100,3,1,1,0,0,0,0,0,1,0,0
ILFOV,1,,5,1,3,4,,,,,,,0,0
SALAJ,0,0.0130313930673643,72,2,1,2,1,0,0,1,1,0,0,0
ILFOV,0,0.0379465834200486,86,1,2,3,,,,,,,0,0
SATU MARE,1,,40,3,3,4,,,,,,,0,0
CLUJ,0,0.00995949288436951,20,1,1,2,1,0,0,0,1,0,0,0
PRAHOVA,0,0.023673371271132,40,2,3,2,0,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,60,1,3,2,0,1,0,1,0,1,0,0
PRAHOVA,0,0.018405081957915,11,1,1,2,1,1,0,0,0,0,0,0
PRAHOVA,1,,13,1,1,3,,,,,,,0,0
CONSTANTA,0,0.00443665152360458,89,2,1,2,1,1,0,0,1,0,0,0
COVASNA,1,,20,1,3,2,0,1,1,0,1,0,0,0
CALARASI,0,0.0313814918346329,52,3,3,3,,,,,,,0,0
CONSTANTA,1,,50,2,1,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,10,2,3,3,,,,,,,0,0
BRASOV,1,,89,2,1,2,0,0,0,0,1,0,0,0
CLUJ,1,,8,1,1,3,,,,,,,0,0
DOLJ,0,0.0126612709351711,100,3,1,1,0,0,0,0,0,1,0,0
IASI,0,0.00461806716354316,41,1,3,2,1,1,0,0,0,1,0,0
IASI,1,,15,1,3,4,,,,,,,0,0
BRAILA,0,0.0108123604939283,35,2,1,1,0,0,0,0,1,0,0,0
BOTOSANI,1,,50,1,3,2,0,0,0,0,0,1,0,0
PRAHOVA,0,0.018405081957915,17,1,1,2,1,1,0,1,1,1,0,0
TIMIS,0,0.00720063761371236,5,3,1,1,0,1,0,0,1,1,0,0
BIHOR,0,0.0228043828911508,37,2,1,1,0,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,20,1,3,3,,,,,,,0,0
TIMIS,0,0.00720063761371236,40,1,3,2,1,1,0,1,0,0,0,0
ILFOV,1,,10,2,1,3,,,,,,,0,0
CALARASI,1,,10,2,1,1,1,0,0,0,0,0,0,0
CLUJ,0,0.00995949288436951,5,3,3,2,0,1,1,1,1,0,0,0
CALARASI,1,,10,2,1,2,0,0,0,0,1,0,0,0
PRAHOVA,1,,20,2,3,2,0,0,0,0,0,1,0,0
IASI,1,,29,2,1,2,1,0,0,0,0,0,0,0
MURES,1,,15,2,3,3,,,,,,,0,0
IASI,0,0.00461806716354316,20,3,1,2,1,0,1,0,1,0,0,0
MURES,1,,89,2,3,1,0,1,1,0,0,0,0,0
ILFOV,1,,10,2,3,2,0,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,10,1,1,1,1,1,0,0,1,0,0,0
IASI,0,0.00461806716354316,36,1,1,2,0,0,0,0,1,0,0,0
ILFOV,1,,39,3,3,3,,,,,,,0,0
ARAD,0,0.015784484603859,41,2,1,2,1,0,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,5,2,1,3,,,,,,,0,0
GORJ,1,,24,2,1,2,0,1,1,0,1,0,0,0
TIMIS,0,0.00720063761371236,10,1,1,3,,,,,,,0,0
CONSTANTA,1,,70,1,3,1,1,0,1,0,1,0,0,0
TIMIS,1,,64,3,2,2,0,1,0,0,0,0,0,0
MURES,0,0.0225717899335997,89,2,1,2,0,0,0,0,1,0,0,0
ARGES,0,0.00281498738109105,31,1,1,1,0,1,0,0,0,0,0,0
PRAHOVA,1,,43,3,4,3,,,,,,,0,0
CONSTANTA,1,,30,3,3,3,,,,,,,0,0
PRAHOVA,1,,25,2,1,3,,,,,,,0,0
IASI,0,0.00461806716354316,33,1,1,2,1,1,0,0,1,0,0,0
ARGES,1,,89,1,3,2,1,1,0,0,1,0,0,0
CALARASI,1,,19,2,1,1,1,0,0,0,0,0,0,0
IASI,0,0.00461806716354316,0,1,2,1,1,0,1,1,1,0,0,0
SATU MARE,0,0.0212688602072351,77,1,1,5,,,,,,,0,0
DAMBOVITA,0,0.033276736029348,27,1,3,2,1,1,1,0,1,0,0,0
TIMIS,0,0.00720063761371236,68,1,2,1,0,0,0,0,1,0,0,0
SATU MARE,1,,89,3,1,2,1,0,0,0,1,0,0,0
PRAHOVA,1,,80,3,3,1,1,1,1,0,1,0,0,0
MEHEDINTI,1,,50,3,1,2,0,0,0,0,1,0,0,0
BIHOR,1,,64,1,1,3,,,,,,,0,0
ARGES,1,,15,3,3,4,,,,,,,0,0
BIHOR,0,0.01063079676737,90,2,1,1,0,0,0,0,1,0,0,0
BRASOV,1,,20,2,3,3,,,,,,,0,0
BACAU,1,,89,2,1,3,,,,,,,0,0
BISTRITA-NASAUD,1,,21,1,1,3,,,,,,,0,0
HUNEDOARA,1,,46,2,3,2,0,0,1,0,1,0,0,0
CONSTANTA,0,0.00791259257216147,99,1,1,3,,,,,,,0,0
TIMIS,0,0.00720063761371236,24,3,2,2,1,1,0,0,0,0,0,0
SUCEAVA,1,,21,1,4,2,1,1,0,1,0,0,0,0
CALARASI,1,,10,2,3,2,0,0,0,0,1,1,0,0
COVASNA,1,,28,2,1,2,1,1,0,1,1,0,0,0
BRASOV,0,0.00423301753678694,100,3,1,3,,,,,,,0,0
IASI,1,,92,3,3,2,0,0,0,0,1,0,0,0
IASI,1,,100,2,3,4,,,,,,,1,0
CLUJ,0,0.00995949288436951,16,1,1,2,0,0,1,0,1,0,0,0
PRAHOVA,1,,68,3,1,2,0,1,0,0,1,1,0,0
PRAHOVA,1,,2,1,2,2,1,1,1,1,1,1,0,0
IASI,0,0.00461806716354316,40,1,1,2,1,0,0,0,1,0,0,0
SUCEAVA,1,,12,1,3,2,0,1,0,0,1,0,0,0
BUZAU,1,,89,2,1,3,,,,,,,0,0
CLUJ,1,,3,2,1,3,,,,,,,0,0
SUCEAVA,0,0.00615512118210669,12,2,1,2,0,1,1,1,1,0,0,0
MARAMURES,1,,30,3,1,2,1,1,0,1,1,0,0,0
BIHOR,0,0.115011764705882,42,1,3,2,1,1,0,1,1,1,0,0
