jud,rural,roma,II1,II13,II15,V4,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,VII1_3,VII2_3
VRANCEA,0,0.0118903472659466,29,1,1,3,,,,,,,0,0
CLUJ,0,0.00995949288436951,20,3,1,2,0,0,0,1,0,0,0,0
VRANCEA,1,,4,2,1,3,,,,,,,0,0
TIMIS,1,,89,1,3,2,0,0,0,0,1,0,0,0
CLUJ,0,0.00995949288436951,18,3,1,2,1,1,0,0,0,0,0,0
PRAHOVA,1,,10,2,2,1,1,1,1,0,1,0,0,0
TIMIS,0,0.00720063761371236,40,3,2,2,0,0,0,0,1,0,0,0
SUCEAVA,0,0.00615512118210669,6,2,4,3,,,,,,,0,0
ILFOV,1,,43,1,1,3,,,,,,,0,0
BIHOR,1,,30,1,3,1,0,1,1,0,1,0,0,0
ILFOV,1,,20,2,1,2,1,1,0,0,1,1,0,0
CALARASI,1,,40,1,1,2,1,1,0,0,1,0,0,0
BISTRITA-NASAUD,1,,40,1,3,3,,,,,,,0,0
BUZAU,1,,33,1,1,2,1,1,0,0,1,0,0,0
PRAHOVA,1,,30,3,1,3,,,,,,,0,0
IASI,1,,45,1,1,3,,,,,,,0,0
CONSTANTA,1,,40,2,1,1,1,0,0,1,1,0,0,0
DAMBOVITA,1,,60,1,1,1,0,0,0,0,1,0,0,0
SIBIU,0,0.00387084962533837,89,2,1,2,0,0,0,0,1,0,0,0
DAMBOVITA,1,,56,1,1,1,1,1,0,0,0,0,0,0
CLUJ,1,,21,1,3,3,,,,,,,0,0
BIHOR,1,,10,1,1,2,1,1,0,0,1,0,0,0
MURES,0,0.0225717899335997,28,2,3,1,1,0,1,0,1,0,0,0
PRAHOVA,1,,12,1,1,2,0,1,0,0,1,0,0,0
CLUJ,1,,37,1,1,1,1,1,1,0,0,0,0,0
BRASOV,1,,50,1,3,2,1,0,0,0,1,0,0,0
CALARASI,1,,25,1,3,4,,,,,,,0,0
DOLJ,1,,3,2,1,3,,,,,,,0,0
GALATI,1,,85,3,3,2,0,0,0,0,1,0,0,0
TULCEA,0,0.0123796423658872,5,1,1,1,1,1,1,1,1,0,0,0
TIMIS,1,,52,1,3,4,,,,,,,0,0
BACAU,1,,30,1,1,2,1,1,1,0,1,1,0,0
ARGES,1,,45,1,1,2,1,0,0,0,1,0,0,0
GALATI,1,,4,2,1,3,,,,,,,0,0
IASI,0,0.055094009619589,76,1,3,1,1,1,0,0,1,0,0,0
TULCEA,1,,40,1,3,2,1,0,1,1,1,0,0,0
ARGES,1,,60,3,3,2,0,1,0,1,1,0,0,0
SATU MARE,1,,30,2,1,3,,,,,,,0,0
SUCEAVA,0,0.00828349615541771,90,3,1,2,0,0,0,0,1,0,0,0
BUZAU,1,,26,1,3,2,1,0,0,0,1,0,0,0
BRASOV,1,,22,1,1,2,1,1,0,1,1,0,0,0
CALARASI,1,,61,3,3,2,1,0,0,0,1,0,0,0
DAMBOVITA,0,0.0159736042735938,60,1,1,3,,,,,,,0,0
GIURGIU,1,,85,2,1,3,,,,,,,0,0
ILFOV,1,,30,2,1,2,1,1,0,0,1,0,0,1
GIURGIU,0,0.173886700999697,17,1,1,2,0,0,0,0,1,0,0,0
TIMIS,1,,20,1,3,3,,,,,,,0,0
NEAMT,1,,89,3,4,1,0,1,0,0,1,1,0,0
PRAHOVA,1,,89,2,1,3,,,,,,,0,0
CLUJ,0,0.00995949288436951,13,2,1,3,,,,,,,0,0
IASI,0,0.00461806716354316,2,1,1,3,,,,,,,0,0
ARAD,1,,50,3,1,2,0,1,0,0,1,0,0,0
ILFOV,0,0.0379465834200486,44,3,1,3,,,,,,,0,1
GIURGIU,1,,25,1,1,2,0,0,1,0,1,0,0,0
MURES,1,,15,2,3,2,1,0,0,0,1,0,0,0
ALBA,0,0.0447304702434051,21,1,3,2,1,1,0,0,1,1,0,0
SIBIU,1,,76,1,1,1,0,0,1,1,1,0,1,0
ARGES,1,,17,1,1,1,1,0,0,0,0,0,0,0
ARGES,1,,70,3,3,2,0,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,43,1,4,2,1,1,0,0,1,0,0,0
TIMIS,0,0.00720063761371236,25,3,3,3,,,,,,,0,0
ARGES,1,,50,1,3,2,0,0,0,0,1,0,0,0
DAMBOVITA,1,,89,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,50,1,3,2,1,1,0,1,1,0,0,0
TIMIS,0,0.00720063761371236,75,1,3,2,1,0,0,1,0,1,0,0
BISTRITA-NASAUD,0,0.0208769283176797,20,1,3,3,,,,,,,0,0
VALCEA,0,0.012389446579841,50,2,3,2,0,0,0,1,1,0,0,0
BRASOV,0,0.0323064913228848,50,3,3,2,1,1,1,1,1,1,0,0
IASI,1,,10,2,1,1,0,1,0,0,1,0,0,0
BUZAU,0,0.0782041214221885,40,1,1,1,1,1,1,1,1,0,0,0
SIBIU,0,0.00275608635737253,35,3,3,2,0,1,1,0,1,0,0,0
HARGHITA,0,0.00847862731778499,15,1,1,2,1,1,1,1,1,1,0,0
HUNEDOARA,0,0.00730526497795453,89,2,3,2,1,0,0,0,0,0,0,0
ILFOV,0,0.00708771613019728,15,3,3,1,1,0,0,0,0,1,0,0
OLT,0,0.0243140120149375,35,1,1,2,0,0,0,1,1,1,0,0
BIHOR,0,0.01063079676737,18,3,3,2,1,0,0,0,0,0,0,0
PRAHOVA,0,0.146768820786143,26,2,3,2,0,1,0,0,1,1,0,0
HARGHITA,0,0.00847862731778499,25,1,3,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,39,2,1,2,1,1,0,0,0,0,0,0
ILFOV,0,0.00708771613019728,40,1,1,2,0,1,0,0,1,1,0,0
MARAMURES,0,0.0380213870302045,12,1,1,2,1,0,0,1,1,0,0,0
MARAMURES,0,0.0380213870302045,19,1,1,3,,,,,,,0,0
VASLUI,0,0.0341815829199914,23,3,3,2,1,1,0,1,1,0,0,0
IALOMITA,0,0.00389559797428905,11,1,3,3,,,,,,,0,0
CALARASI,0,0.0603022377215926,43,2,1,2,1,1,0,0,1,0,0,0
IALOMITA,0,0.0283754876053857,15,3,2,2,1,1,1,1,1,0,0,0
SUCEAVA,0,0.00753991720875222,89,2,1,2,1,0,1,0,0,0,0,0
MARAMURES,0,0.0125493371116284,5,1,1,3,,,,,,,0,0
ILFOV,0,0.00708771613019728,21,2,1,4,,,,,,,0,0
DAMBOVITA,0,0.0168543254773061,100,3,1,2,0,1,0,0,1,0,0,0
GIURGIU,1,,36,2,3,5,,,,,,,0,0
MARAMURES,0,0.0125493371116284,24,1,1,4,,,,,,,0,0
HARGHITA,0,0.014640120766755,38,3,1,3,,,,,,,0,0
GIURGIU,0,0.0456301951073327,20,3,3,2,0,0,0,0,0,0,0,0
CONSTANTA,0,0.00841174408886253,53,3,3,1,1,1,0,0,0,0,0,0
HARGHITA,0,0.014640120766755,80,2,3,2,1,1,0,0,0,0,0,0
MARAMURES,0,0.0125493371116284,8,3,3,1,0,1,0,0,0,1,0,0
BOTOSANI,0,0.0249318801089918,53,1,1,2,0,0,1,0,0,0,0,0
SALAJ,1,,10,2,1,2,1,0,1,1,0,1,0,0
HUNEDOARA,0,0.015650283171521,11,1,3,1,1,1,1,1,1,0,0,0
ILFOV,0,0.0224769409868362,25,1,3,2,0,0,0,0,1,1,0,0
BRASOV,1,,36,1,3,2,0,0,0,0,0,0,0,0
VRANCEA,0,0.0540689655172414,46,1,1,3,,,,,,,0,0
IALOMITA,0,0.00389559797428905,34,2,3,3,,,,,,,0,0
CONSTANTA,0,0.0216549789621318,30,1,3,2,1,0,0,1,0,0,0,0
TELEORMAN,0,0.0334362139917696,25,1,1,3,,,,,,,0,0
VALCEA,1,,89,3,2,2,1,1,1,1,1,0,0,0
DAMBOVITA,1,,25,1,1,4,,,,,,,0,0
HARGHITA,0,0.00847862731778499,1,2,1,3,,,,,,,0,0
MURES,0,0.0501214247166757,17,2,1,2,1,0,1,0,1,0,0,0
VASLUI,0,0.0130322995339868,89,3,1,2,1,0,0,0,0,0,1,1
BUZAU,0,0.0456143778081657,51,1,3,1,1,1,1,0,1,0,0,0
CONSTANTA,0,0.0149724770642202,10,2,1,3,,,,,,,0,0
MURES,0,0.0225717899335997,11,2,3,2,1,0,0,0,0,0,0,0
MURES,0,0.0605306559416684,10,1,1,1,0,1,0,1,1,0,0,0
DAMBOVITA,0,0.0168543254773061,89,2,3,3,,,,,,,0,0
MURES,0,0.0602914389799636,60,2,3,3,,,,,,,0,0
CARAS-SEVERIN,0,0.0212871287128713,21,1,1,2,1,1,0,0,1,1,0,0
NEAMT,0,0.0165117658690923,54,3,3,3,,,,,,,0,0
CLUJ,0,0.00975910709778737,13,1,3,2,0,0,0,0,1,0,0,0
ARAD,0,0.015784484603859,50,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,89,3,1,3,,,,,,,0,0
SUCEAVA,0,0.00655174607213282,51,1,3,2,0,1,0,0,0,1,0,0
PRAHOVA,0,0.023673371271132,10,1,3,3,,,,,,,0,0
GALATI,0,0.0395961714960011,31,2,3,1,1,1,1,1,1,1,0,0
BUCURESTI,0,0.0127187273323463,10,2,1,2,1,1,0,0,0,0,0,0
ILFOV,0,0.017516543402102,49,2,3,3,,,,,,,0,0
PRAHOVA,0,0.00901390939466936,40,2,1,3,,,,,,,0,0
CONSTANTA,0,0.0320240439423774,32,1,1,4,,,,,,,0,0
SUCEAVA,0,0.00615512118210669,15,1,1,2,0,0,0,0,1,1,0,0
IALOMITA,0,0.0283754876053857,26,1,3,2,1,1,0,1,1,1,0,0
BIHOR,0,0.01063079676737,20,3,3,2,1,1,1,1,1,0,0,0
PRAHOVA,1,,10,3,1,2,1,0,0,0,1,1,0,0
ARGES,0,0.00597068394184554,33,3,3,1,1,1,1,1,1,1,0,0
IALOMITA,0,0.0542822300741065,11,3,3,2,0,1,1,0,1,1,0,0
IASI,0,0.0139510397473019,10,3,3,1,0,1,0,0,0,0,0,0
ARAD,0,0.121605188488042,74,3,3,1,1,1,1,1,1,0,0,0
NEAMT,0,0.0165117658690923,40,1,3,2,0,1,1,0,0,0,0,0
PRAHOVA,0,0.00760054892853373,10,1,1,3,,,,,,,0,0
PRAHOVA,0,0.00258774057900695,3,1,1,2,1,1,0,0,1,0,0,0
CONSTANTA,0,0.00791259257216147,14,1,1,3,,,,,,,0,0
VALCEA,0,0.0546687532603026,14,2,3,2,0,0,0,0,1,0,0,0
CONSTANTA,0,0.00443665152360458,24,1,4,3,,,,,,,0,0
SUCEAVA,0,0.00615512118210669,72,1,1,1,0,0,0,1,0,0,0,0
BUCURESTI,0,0.0127187273323463,20,3,3,2,1,1,0,0,1,0,0,0
SIBIU,0,0.00387084962533837,53,1,1,2,0,1,0,0,1,0,0,0
NEAMT,0,0.00907256988547215,89,3,1,2,1,0,0,0,1,0,0,0
BACAU,0,0.0135384122406473,10,2,1,2,0,0,1,0,1,0,0,0
MURES,0,0.0605306559416684,5,1,1,2,0,1,0,0,1,1,0,0
TIMIS,0,0.0227842659597335,30,1,3,2,1,0,1,0,1,0,0,0
PRAHOVA,0,0.0123746725679704,50,1,3,2,1,0,0,0,0,0,0,0
PRAHOVA,0,0.018405081957915,40,2,1,1,1,1,0,0,1,0,0,0
ILFOV,0,0.017516543402102,50,3,1,2,0,0,0,0,1,0,0,0
ARGES,0,0.00281498738109105,50,1,3,3,,,,,,,0,0
CONSTANTA,0,0.0149724770642202,27,1,4,2,1,1,0,1,1,0,0,0
SUCEAVA,0,0.0164506815282347,47,2,1,3,,,,,,,0,0
SATU MARE,0,0.0212688602072351,40,3,3,1,1,1,0,0,0,0,0,0
CONSTANTA,0,0.0262261893806938,100,1,1,3,,,,,,,0,0
ARAD,1,,75,2,1,2,1,1,0,0,0,1,0,0
BUCURESTI,0,0.0127187273323463,4,1,1,1,1,0,0,0,0,0,0,0
TIMIS,0,0.00910596026490066,11,3,3,2,1,0,1,1,1,0,0,0
SUCEAVA,0,0.0164506815282347,16,1,2,3,,,,,,,0,0
ARGES,0,0.00523976060882201,36,1,2,2,1,1,1,1,1,0,0,0
ARGES,0,0.00281498738109105,29,1,3,3,,,,,,,0,0
PRAHOVA,0,0.018405081957915,21,2,1,2,1,1,1,1,1,1,0,0
DAMBOVITA,0,0.00902053180747223,70,1,1,2,0,0,1,0,1,0,0,0
CONSTANTA,0,0.0149724770642202,89,2,1,1,1,0,0,0,0,0,0,0
BRASOV,0,0.0247315327041979,20,2,3,2,0,1,0,1,1,1,0,0
CALARASI,0,0.340622588114227,75,3,1,2,1,1,0,0,0,1,1,1
CARAS-SEVERIN,0,0.0212871287128713,16,1,2,2,0,1,1,1,1,1,0,0
CONSTANTA,0,0.00443665152360458,31,1,1,2,0,0,0,0,1,0,0,0
BRASOV,1,,34,2,1,1,1,1,1,0,1,1,0,0
PRAHOVA,0,0.00258774057900695,25,2,3,1,1,1,0,0,1,0,0,0
MARAMURES,0,0.00910891089108911,10,3,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,5,2,1,2,1,1,0,0,0,0,0,0
VASLUI,1,,89,1,3,2,0,0,0,0,0,1,0,0
HARGHITA,0,0.014640120766755,25,3,3,4,,,,,,,0,0
CONSTANTA,0,0.00443665152360458,85,1,3,3,,,,,,,0,0
ALBA,0,0.0395480225988701,10,1,1,2,1,1,0,0,1,0,0,0
BRASOV,0,0.00321409129212436,89,3,1,3,,,,,,,0,0
IASI,0,0.00461806716354316,20,1,2,3,,,,,,,0,0
VRANCEA,0,0.0118903472659466,15,1,3,2,0,1,0,0,1,0,0,0
BIHOR,0,0.0534723896792862,3,2,1,3,,,,,,,0,0
CARAS-SEVERIN,0,0.0212871287128713,30,2,1,2,0,1,0,1,1,0,0,0
CLUJ,0,0.0490183973330041,1,2,1,2,0,1,0,0,1,0,0,0
VALCEA,0,0.0397889646076061,40,3,1,2,1,0,0,0,0,0,0,0
ALBA,0,0.0816902756508423,51,3,3,1,1,0,0,0,0,0,0,0
IASI,0,0.00461806716354316,31,2,3,3,,,,,,,0,0
BOTOSANI,0,0.0141886119674628,10,2,3,2,1,1,1,1,1,0,0,0
PRAHOVA,0,0.0123746725679704,59,2,3,2,1,1,0,0,1,1,0,0
ARGES,0,0.00597068394184554,36,1,1,2,0,1,0,0,0,0,0,0
CARAS-SEVERIN,0,0.0212871287128713,54,2,1,2,1,0,0,1,0,0,0,0
BUCURESTI,0,0.0127187273323463,27,1,1,3,,,,,,,0,0
SUCEAVA,1,,50,3,3,3,,,,,,,0,0
ARGES,0,0.00281498738109105,65,2,3,2,0,1,0,0,0,0,0,0
PRAHOVA,0,0.00048030739673391,1,1,3,2,1,0,0,0,0,0,0,0
CLUJ,0,0.00975910709778737,40,1,3,2,1,1,1,1,1,0,0,0
GORJ,0,0.0140579101972304,6,1,1,3,,,,,,,0,0
ARGES,0,0.00523976060882201,11,2,1,2,0,1,0,0,0,0,0,0
CLUJ,0,0.00995949288436951,33,2,3,1,1,1,0,0,0,1,0,0
ARGES,0,0.00597068394184554,15,1,1,4,,,,,,,0,0
CONSTANTA,0,0.0149724770642202,15,1,3,2,1,0,0,0,0,1,0,0
BRASOV,0,0.00321409129212436,51,2,1,2,0,0,0,1,0,0,0,0
MARAMURES,0,0.0125493371116284,50,1,1,2,0,0,0,0,1,0,0,0
DAMBOVITA,0,0.0159736042735938,60,3,1,2,1,0,0,0,0,0,1,1
BRASOV,1,,20,2,3,2,0,1,1,1,1,0,0,0
SATU MARE,0,0.0118774264346511,23,2,3,2,1,1,0,0,0,0,0,0
HARGHITA,0,0.00847862731778499,100,2,3,2,0,1,0,0,0,0,0,0
SUCEAVA,0,0.00753991720875222,43,2,1,1,0,0,1,0,0,0,0,0
BIHOR,0,0.0239598811292719,2,3,3,5,,,,,,,0,0
CONSTANTA,0,0.00443665152360458,20,2,1,2,1,1,0,0,1,1,0,0
DAMBOVITA,0,0.0159736042735938,17,1,1,2,0,0,0,0,1,0,0,0
HUNEDOARA,0,0.0160927793213249,43,1,3,2,1,0,0,0,0,0,0,0
HUNEDOARA,0,0.00730526497795453,100,1,1,1,0,0,0,0,1,0,0,0
SUCEAVA,0,0.00753991720875222,35,2,1,2,1,1,0,0,0,0,0,0
TIMIS,0,0.0227842659597335,40,1,1,1,0,1,0,0,0,0,0,0
TIMIS,1,,15,1,1,2,1,0,0,0,1,0,0,0
TIMIS,0,0.0227842659597335,89,2,1,3,,,,,,,0,0
HUNEDOARA,0,0.00730526497795453,27,2,1,3,,,,,,,0,0
OLT,0,0.0329888073689284,12,1,1,2,1,1,1,1,1,1,1,1
BRASOV,0,0.0323064913228848,10,1,1,2,0,0,0,0,1,0,0,0
CONSTANTA,0,0.00791259257216147,50,1,1,2,1,0,0,0,1,0,0,0
VRANCEA,1,,15,1,3,1,1,1,0,0,1,0,0,0
ARGES,0,0.00281498738109105,5,1,1,1,1,1,1,1,1,0,0,0
CONSTANTA,0,0.00791259257216147,58,1,1,2,1,0,0,1,1,0,0,0
MARAMURES,0,0.0242448176799003,100,3,2,2,0,0,0,0,1,0,1,0
ILFOV,1,,1,3,3,3,,,,,,,0,0
BRAILA,1,,20,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,90,1,3,2,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,59,1,2,2,1,0,0,0,1,0,0,0
GORJ,0,0.0311957209409329,5,2,1,2,0,1,1,0,1,1,0,0
BOTOSANI,1,,55,3,1,2,0,0,0,0,1,0,0,0
SALAJ,0,0.0130313930673643,30,1,1,2,0,1,0,0,1,0,0,0
BACAU,0,0.0307762766201053,50,3,3,3,,,,,,,0,0
ILFOV,0,0.017516543402102,50,1,3,2,1,1,1,1,1,1,0,0
PRAHOVA,0,0.00201816347124117,27,2,3,2,0,0,0,0,1,1,0,0
MURES,0,0.0605306559416684,12,1,1,2,1,1,0,1,0,1,0,0
TELEORMAN,0,0.0198271479410269,24,1,1,2,1,1,0,0,1,0,0,0
GALATI,0,0.0395961714960011,31,2,2,2,1,0,0,0,0,0,0,0
BOTOSANI,0,0.0141886119674628,22,1,1,2,1,1,0,0,1,0,0,1
HUNEDOARA,0,0.0131024493020806,34,1,3,2,0,0,1,0,1,1,0,0
TELEORMAN,1,,89,2,1,1,1,1,0,0,1,0,0,0
SIBIU,0,0.00387084962533837,74,3,3,2,1,1,1,1,1,0,0,0
BRASOV,0,0.00321409129212436,49,2,1,2,0,0,0,0,1,0,0,0
CLUJ,0,0.00995949288436951,30,3,3,2,1,1,0,0,1,0,0,0
GALATI,0,0.00635418635418635,46,1,1,2,1,0,1,1,1,0,0,0
HUNEDOARA,0,0.050660901184217,25,2,1,2,0,1,0,0,1,0,0,0
BRASOV,0,0.0102453325104151,10,1,2,3,,,,,,,0,0
HARGHITA,0,0.0348306182264331,89,3,1,1,1,0,1,0,1,0,0,0
TIMIS,0,0.00720063761371236,8,2,3,3,,,,,,,0,0
ARGES,0,0.0171872273599721,25,2,3,2,1,1,1,0,1,1,0,0
IASI,0,0.0771257905832748,51,1,2,2,1,1,1,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,62,2,3,2,1,0,0,0,0,0,0,0
BACAU,0,0.0503218786834709,72,3,1,5,,,,,,,0,0
HARGHITA,0,0.00847862731778499,13,2,1,2,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,100,1,3,1,1,1,0,0,1,0,0,0
VALCEA,0,0.012389446579841,30,3,1,4,,,,,,,0,0
CLUJ,0,0.00995949288436951,20,1,2,2,1,0,0,0,1,0,0,0
IASI,0,0.00461806716354316,50,1,1,2,0,1,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,10,3,4,3,,,,,,,0,0
NEAMT,0,0.0251855147537858,52,3,3,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,47,2,1,2,1,1,1,1,1,0,0,0
IASI,0,0.0139510397473019,36,3,1,1,0,1,0,0,1,1,0,0
BACAU,0,0.00804063913393598,11,2,1,2,0,0,0,0,1,0,0,0
COVASNA,0,0.00684872723527695,15,2,2,2,0,0,0,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,20,2,1,1,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,20,1,3,2,1,0,0,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,59,1,2,1,1,0,0,0,0,0,0,0
MURES,0,0.102132340497546,14,2,3,2,1,1,0,1,1,0,0,0
VALCEA,0,0.012389446579841,30,1,3,3,,,,,,,0,0
MARAMURES,0,0.0242448176799003,41,3,1,3,,,,,,,0,0
CLUJ,0,0.00995949288436951,2,2,1,3,,,,,,,0,0
GORJ,1,,50,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,48,3,3,2,1,0,0,0,0,0,0,0
TIMIS,0,0.00720063761371236,10,3,3,3,,,,,,,0,0
BACAU,1,,10,1,3,2,0,0,0,0,1,0,0,0
GORJ,0,0.0341109383100052,65,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,21,2,1,2,1,0,0,0,0,0,0,0
VALCEA,0,0.0546687532603026,41,3,4,2,0,0,0,0,0,1,0,0
BRASOV,0,0.00321409129212436,40,1,3,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,0,3,1,2,0,1,0,0,1,0,0,0
OLT,0,0.0243140120149375,35,1,1,1,0,1,1,0,1,1,0,0
NEAMT,0,0.0165117658690923,30,2,1,2,0,0,1,0,0,0,0,0
DOLJ,0,0.0200611325030765,68,1,3,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,89,3,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,40,1,1,2,1,1,0,1,0,0,0,0
BUCURESTI,0,0.0127187273323463,10,1,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,50,2,3,2,1,0,0,0,1,0,0,0
HUNEDOARA,0,0.0160927793213249,60,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,50,1,2,3,,,,,,,0,0
MEHEDINTI,0,0.00573493437814026,65,1,1,2,1,0,0,0,0,0,0,0
VALCEA,0,0.012389446579841,32,3,1,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,10,3,3,2,0,0,0,0,0,1,0,0
BUCURESTI,0,0.0127187273323463,35,1,1,2,1,1,1,0,1,1,0,0
MARAMURES,0,0.0242448176799003,10,1,1,4,,,,,,,0,0
CARAS-SEVERIN,0,0.0149858188773828,50,2,3,4,,,,,,,0,0
IASI,0,0.00461806716354316,17,1,1,4,,,,,,,0,0
ARGES,0,0.0171872273599721,29,3,1,3,,,,,,,0,0
ARAD,0,0.015784484603859,31,1,1,2,0,1,0,1,1,0,0,0
BACAU,0,0.0503218786834709,36,1,1,2,0,1,0,0,1,0,0,0
BRASOV,0,0.00321409129212436,10,1,1,2,1,1,1,0,1,0,0,0
BOTOSANI,0,0.0113163348049374,20,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,45,2,1,2,1,0,1,0,1,1,0,0
BRAILA,0,0.0294835680751174,66,3,1,1,0,0,0,0,1,1,0,0
BUCURESTI,0,0.0127187273323463,5,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,2,1,2,3,,,,,,,0,0
GORJ,0,0.00366282941680145,56,3,1,2,1,1,0,0,1,0,0,0
BRASOV,0,0.00321409129212436,10,2,1,3,,,,,,,0,0
SIBIU,0,0.00387084962533837,50,3,1,3,,,,,,,0,0
IASI,0,0.0139510397473019,10,1,1,1,1,0,1,0,1,0,0,0
IASI,0,0.00461806716354316,34,1,1,3,,,,,,,0,0
BACAU,0,0.0729450499545867,18,2,4,1,0,0,1,0,0,0,0,0
IASI,0,0.00461806716354316,8,1,4,3,,,,,,,0,0
SUCEAVA,0,0.00655174607213282,12,3,3,1,1,0,1,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,15,1,3,2,0,0,0,0,0,0,0,0
VASLUI,0,0.0130322995339868,89,2,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,21,1,3,3,,,,,,,0,0
ARAD,0,0.0577706455993087,30,1,1,1,1,0,0,0,1,1,0,0
VALCEA,0,0.012389446579841,27,2,1,1,1,1,1,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,23,1,1,4,,,,,,,0,0
BACAU,0,0.00804063913393598,15,1,1,1,1,1,1,0,1,0,0,0
MARAMURES,0,0.0242448176799003,10,2,1,2,1,0,1,1,1,1,0,0
SIBIU,0,0.00387084962533837,89,2,1,4,,,,,,,0,0
TIMIS,1,,36,1,1,1,0,0,0,1,0,0,0,0
BOTOSANI,0,0.0113163348049374,20,1,1,2,1,0,0,0,0,0,0,0
DOLJ,0,0.0200611325030765,27,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,12,1,3,1,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,35,2,1,3,,,,,,,0,0
SUCEAVA,0,0.00204026845637584,15,1,3,1,1,1,0,1,1,1,0,0
BOTOSANI,0,0.0141886119674628,31,3,2,3,,,,,,,0,0
IASI,0,0.00461806716354316,44,3,3,3,,,,,,,0,0
COVASNA,0,0.0147058823529412,30,1,1,3,,,,,,,0,0
COVASNA,0,0.00684872723527695,20,1,1,2,1,0,1,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,13,2,1,2,1,1,0,0,0,0,0,0
ILFOV,0,0.0115735382621175,89,2,4,2,0,1,0,0,0,0,0,0
ILFOV,0,0.00708771613019728,60,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,10,2,1,3,,,,,,,0,0
CONSTANTA,1,,33,1,1,2,1,0,0,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,10,1,3,2,1,0,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,30,2,3,2,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,50,3,3,1,1,1,0,0,1,0,0,0
MARAMURES,0,0.0125493371116284,10,1,1,1,0,0,1,0,1,1,0,0
CLUJ,1,,20,1,1,2,1,1,0,0,1,0,0,0
BOTOSANI,0,0.0113163348049374,12,2,1,1,1,1,0,0,1,0,0,0
GORJ,0,0.0311957209409329,89,2,1,2,1,1,1,0,0,0,0,0
DOLJ,0,0.0200611325030765,5,1,3,1,1,1,1,1,1,1,0,0
TIMIS,0,0.00720063761371236,3,2,3,2,1,0,1,1,1,0,0,0
ILFOV,0,0.0224769409868362,34,1,1,2,0,0,0,1,0,0,1,1
IASI,1,,32,3,1,1,0,1,0,0,0,0,0,0
HUNEDOARA,0,0.0119294524927098,65,3,1,1,0,0,0,0,1,0,0,0
HUNEDOARA,0,0.0188988420362683,41,3,2,2,0,0,0,0,0,1,0,0
BOTOSANI,0,0.0113163348049374,40,1,3,2,1,0,1,1,1,0,0,0
BUCURESTI,0,0.0127187273323463,30,1,1,2,0,0,0,0,0,1,0,0
BUCURESTI,0,0.0127187273323463,15,1,1,2,1,0,0,0,0,0,0,0
TIMIS,1,,52,2,1,3,,,,,,,0,0
CONSTANTA,0,0.00791259257216147,100,2,1,2,0,0,1,1,0,0,0,0
IASI,1,,68,2,3,3,,,,,,,0,0
BACAU,0,0.0135384122406473,65,2,1,2,1,1,0,1,1,1,0,0
IASI,0,0.00461806716354316,5,2,3,1,0,0,0,0,1,0,0,0
TELEORMAN,0,0.0198271479410269,41,1,1,1,0,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,70,2,1,3,,,,,,,0,0
MEHEDINTI,0,0.107986398308979,21,1,3,2,1,0,0,1,1,0,0,0
DOLJ,0,0.0200611325030765,65,1,3,4,,,,,,,0,0
VALCEA,0,0.012389446579841,12,3,1,2,0,0,0,0,0,0,0,0
HUNEDOARA,0,0.031802686986164,40,1,1,2,1,1,0,0,0,1,0,0
