town,jud,roma,roma_above_median
CETATENI,ARGES,0.253433616742969,1
CRIZBAV,BRASOV,0.0108907040062233,1
SPULBER,VRANCEA,0,0
BABA ANA,PRAHOVA,0,0
ODOREU,SATU MARE,0.0643737355159095,1
VIMA MICA,MARAMURES,0,0
SURDUC,SALAJ,0.0581301901955532,1
PANCESTI,NEAMT,0,0
BUDESTI,BISTRITA-NASAUD,0.13768115942029,1
LUCIU,BUZAU,0.0660762942779292,1
BUCU,IALOMITA,0.00125156445556946,0
MELINESTI,DOLJ,0.0161210317460317,1
BLAJEL,SIBIU,0.169276343630978,1
SUCEVITA,SUCEAVA,0.08610830810629,1
BELIU,ARAD,0.0383739837398374,1
BATAR,BIHOR,0.273985412380774,1
STRUNGA,IASI,0,0
SOVATA,MURES,0.018858847301068,1
TIGANESTI,TELEORMAN,0.00936291471605943,1
TURNU MAGURELE,TELEORMAN,0.0315644843848639,1
CORNESTI,DAMBOVITA,0.00111763062307907,0
BABADAG,TULCEA,0.126548307184145,1
MIHAILESTI,GIURGIU,0.0268439538384345,1
RACHITI,BOTOSANI,0,0
PARAVA,BACAU,0.205006337135615,1
TELIUCU INFERIOR,HUNEDOARA,0.00200160128102482,0
GAVANESTI,OLT,0,0
GHIOROC,ARAD,0.00582382916767775,0
CEUASU DE CAMPIE,MURES,0.102769436102769,1
DARASTI-ILFOV,ILFOV,0.00561426684280053,0
TANDAREI,IALOMITA,0.108944281524927,1
MIHAESTI,ARGES,0.195162635529608,1
MOLDOVA NOUA,CARAS-SEVERIN,0.0275258807479336,1
CULCIU,SATU MARE,0.00816629547141797,1
AFUMATI,ILFOV,0.0486425339366516,1
VALEA LUI MIHAI,BIHOR,0.0509200662058222,1
ODOBESTI,VRANCEA,0.0114096822350181,1
OBREJA,CARAS-SEVERIN,0.00769449985750926,1
REDIU,NEAMT,0,0
TATARANI,DAMBOVITA,0.0201831433376939,1
VALEA DANULUI,ARGES,0,0
BUZESCU,TELEORMAN,0.229117508258613,1
BAILE TUSNAD,HARGHITA,0.0170627666057282,1
RUGINOASA,IASI,0.000163800163800164,0
COSESTI,ARGES,0.0919476690620969,1
SACALASENI,MARAMURES,0.0319148936170213,1
BUZOESTI,ARGES,0.000657246138678935,0
FIERBINTI-TARG,IALOMITA,0.00360938439943854,0
GOTTLOB,TIMIS,0.0458545622973599,1
NADLAC,ARAD,0.049087982832618,1
POIANA CAMPINA,PRAHOVA,0.00306044376434583,0
AIUD,ALBA,0.0389097131681877,1
BALTENI,VASLUI,0.0042042042042042,0
TASNAD,SATU MARE,0.105605109569431,1
BUJORENI,VALCEA,0.0327052198397228,1
AGNITA,SIBIU,0.0151530256205762,1
ORSOVA,MEHEDINTI,0.0108803165182987,1
BUNESTI,SUCEAVA,0,0
CORBEANCA,ILFOV,0.0104254719639335,1
CERNAT,COVASNA,0.00175923598894195,0
CIUMEGHIU,BIHOR,0.230538230538231,1
POTCOAVA,OLT,0.0713180958927651,1
SARMASU,MURES,0.0995301153353268,1
NEGRESTI-OAS,SATU MARE,0.0144028362508309,1
HUSI,VASLUI,0.00419080937283627,0
DOLHASCA,SUCEAVA,0.121626651777406,1
DARABANI,BOTOSANI,9.22849760059062e-05,0
DRAGOMIRESTI,MARAMURES,0.003690036900369,0
VULCAN,HUNEDOARA,0.0125210871602624,1
BECLEAN,BISTRITA-NASAUD,0.0362945955492759,1
