town,jud,roma,roma_above_median
VALEA CHIOARULUI,MARAMURES,0.0825426944971537,1
CRISTIAN,BRASOV,0.000643224699828474,0
VASLUI,VASLUI,0.0130322995339868,1
IANCA,OLT,0.018308406395049,1
SLATINA,OLT,0.0243140120149375,1
TULNICI,VRANCEA,0.0203814998693494,1
LUNCA CORBULUI,ARGES,0,0
CRISTESTI,MURES,0.101979201610198,1
RUGINESTI,VRANCEA,0.00719246031746032,0
SATU MARE,SATU MARE,0.0118774264346511,1
TINTESTI,BUZAU,0.0468611847922193,1
BALOTESTI,ILFOV,0.0327672805548912,1
STEFAN VODA,CALARASI,0.0246075519728468,1
MAGESTI,BIHOR,0.0559593023255814,1
FUNDENI,CALARASI,0.0895627644569817,1
DARMANESTI,DAMBOVITA,0.0143695608176483,1
GIARMATA,TIMIS,0.0163984674329502,1
BRADU,ARGES,0.012069674941709,1
BRAZI,PRAHOVA,0.00108407612623464,0
MURFATLAR,CONSTANTA,0.0262261893806938,1
JOITA,GIURGIU,0.0140772971589455,1
STOENESTI,ARGES,0.119016249451032,1
BELINT,TIMIS,0.00242886884108258,0
GOLAIESTI,IASI,0.000263643553915107,0
HALMAGIU,ARAD,0.00101626016260163,0
BERTEA,PRAHOVA,0,0
MOSNITA NOUA,TIMIS,0.00923751369970252,1
APAHIDA,CLUJ,0.0390221819827976,1
BIHARIA,BIHOR,0.0152797367183827,1
VULTURU,VRANCEA,0.0306146854819421,1
CARACAL,OLT,0.039283705231577,1
SABARENI,GIURGIU,0.0180117769310703,1
BUHUSI,BACAU,0.0729450499545867,1
GHILAD,TIMIS,0.0865116279069767,1
DORNA CANDRENILOR,SUCEAVA,0.00787143325680551,1
PISCU,GALATI,0.0109867751780265,1
DUMBRAVITA,TIMIS,0,0
SANPAUL,MURES,0.308563340410474,1
TAGA,CLUJ,0.0316106372303061,1
GURA FOII,DAMBOVITA,0.00638103919781222,0
CORNETU,ILFOV,0.0560703628082299,1
MIHALASENI,BOTOSANI,0,0
COLTAU,MARAMURES,0.362756484707704,1
RECEA,MARAMURES,0.0106365298321423,1
UNGHENI,IASI,0,0
CRISENI,SALAJ,0.0400858983536149,1
MICULA,SATU MARE,0.0837959291567539,1
MIROSLAVA,IASI,0.0011917057281322,0
UNGURENI,BOTOSANI,0,0
SCORTARU NOU,BRAILA,0,0
BRASOV,BRASOV,0.00321409129212436,0
HERECLEAN,SALAJ,0.0222878625134264,1
MOVILENI,GALATI,0.165465465465465,1
BASCOV,ARGES,0.00744720965309201,0
BALESTI,GORJ,0.0317248733671021,1
ALBESTI-PALEOLOGU,PRAHOVA,0.00173040318394186,0
BALCESTI,VALCEA,0.019699629412912,1
OTOPENI,ILFOV,0.000572041473006793,0
CORUND,HARGHITA,0.026079869600652,1
TOPLET,CARAS-SEVERIN,0.0343241330502477,1
RAZVAD,DAMBOVITA,0.00150550086855819,0
SAGNA,NEAMT,0.000580945003872967,0
GANEASA,ILFOV,0.229681274900398,1
OLTENITA,CALARASI,0.0578566987876904,1
PANTELIMON,ILFOV,0.0501434887148065,1
ADANCATA,IALOMITA,0.000718390804597701,0
SIBIU,SIBIU,0.00387084962533837,0
LICURICI,GORJ,0,0
SELIMBAR,SIBIU,0.0133843212237094,1
LENAUHEIM,TIMIS,0.105978260869565,1
SARASAU,MARAMURES,0.0197628458498024,1
CRICAU,ALBA,0.0133651551312649,1
FIBIS,TIMIS,0.00235571260306243,0
PODURI,BACAU,0.0292211917164274,1
SOFRONEA,ARAD,0,0
FLORESTI,PRAHOVA,0.0251057082452431,1
GHIMES-FAGET,BACAU,0.0196345256609642,1
LESPEZI,IASI,0,0
CARLOGANI,OLT,0,0
NAVODARI,CONSTANTA,0.00841174408886253,1
LUNCA DE SUS,HARGHITA,0,0
ILIENI,COVASNA,0,0
BANEASA,GIURGIU,0.0621351911127848,1
CHISCANI,BRAILA,0.0327209098862642,1
BLEJOI,PRAHOVA,0.0166139240506329,1
DRAGOMIRESTI,DAMBOVITA,0.0619020821609454,1
TOMESTI,IASI,0.000318344608038201,0
SANMARTIN,HARGHITA,0.000426985482493595,0
SAVADISLA,CLUJ,0.0175359712230216,1
ORASTIOARA DE SUS,HUNEDOARA,0.000458715596330275,0
SURA MARE,SIBIU,0.0458227848101266,1
LEMNIA,COVASNA,0.00412158681092221,0
FRUMUSANI,CALARASI,0.191268897570919,1
NADRAG,TIMIS,0.000697836706210747,0
CRIVAT,CALARASI,0.0425343376163048,1
COSTULENI,IASI,0.00112283853581855,0
LUMINA,CONSTANTA,0.0136403317328677,1
GHEORGHE DOJA,IALOMITA,0.000361925443358668,0
BABANA,ARGES,0,0
ION ROATA,IALOMITA,0.119134515119917,1
SIRET,SUCEAVA,0,0
BALESTI,VRANCEA,0.00937808489634748,1
MILOSESTI,IALOMITA,0.00140203294777427,0
PRIBOIENI,ARGES,0.0205612670186163,1
DASCALU,ILFOV,0.0101073910296905,1
SCRIOASTEA,TELEORMAN,0.0316265060240964,1
MADARAS,HARGHITA,0.00136239782016349,0
TARGSORU VECHI,PRAHOVA,0.00115801663332982,0
SINESTI,IALOMITA,0.121558092679651,1
SARMAS,HARGHITA,0.00309278350515464,0
VINTU DE JOS,ALBA,0.0158162304650725,1
GALATI,GALATI,0.00635418635418635,0
POPRICANI,IASI,0,0
MIHAI EMINESCU,BOTOSANI,0.000689084895259096,0
SACALAZ,TIMIS,0.00611899492253613,0
COVASNA,COVASNA,0.0317742993720124,1
SALATRUCEL,VALCEA,0.00602968460111317,0
PETRU RARES,BISTRITA-NASAUD,0.260047910566942,1
VALU LUI TRAIAN,CONSTANTA,0.0180556650634708,1
SAMSUD,SALAJ,0.0494318181818182,1
PUNGESTI,VASLUI,0.0794135613927917,1
RUSII-MUNTI,MURES,0.072744014732965,1
GOLESTI,VRANCEA,0,0
GIROC,TIMIS,0.00690704752985249,0
BARCANESTI,PRAHOVA,0.0315141396222477,1
RIENI,BIHOR,0.129576567971983,1
JILAVA,ILFOV,0.123926777903775,1
TIHA BARGAULUI,BISTRITA-NASAUD,0.0378006872852234,1
BECENI,BUZAU,0.000669344042838019,0
BANESTI,PRAHOVA,0.00438750438750439,0
VOINESTI,IASI,0.0574506283662478,1
NICOLAE BALCESCU,CONSTANTA,0.0135559921414538,1
ANINOASA,DAMBOVITA,0.000628338045868677,0
RUNCU,DAMBOVITA,0.000446428571428571,0
SANTANDREI,BIHOR,0.0303272146847566,1
CORNU,PRAHOVA,0,0
PREJMER,BRASOV,0.0568245125348189,1
BORCEA,CALARASI,0.00184842883548983,0
GOIESTI,DOLJ,0.00620732464307883,0
UMBRARESTI,GALATI,0.0552874067573497,1
TULCEA,TULCEA,0.0123796423658872,1
TEREMIA MARE,TIMIS,0.0178184444979533,1
HEMEIUS,BACAU,0.00117716303708064,0
SMARDAN,GALATI,0,0
HARLAU,IASI,0.055094009619589,1
TOPOLOG,TULCEA,0.00573979591836735,0
VEDEA,ARGES,0,0
TARNA MARE,SATU MARE,0.0209410548086867,1
RADAUTI,SUCEAVA,0.00828349615541771,1
CUZA VODA,CALARASI,0,0
ROATA DE JOS,GIURGIU,0.0503478363400542,1
GRADISTEA,ILFOV,0.0100273473108478,1
BOLINTIN-VALE,GIURGIU,0.173886700999697,1
ONICENI,NEAMT,0,0
FILIPESTII DE TARG,PRAHOVA,0.156215350498953,1
SEITIN,ARAD,0.088615997344839,1
GREACA,GIURGIU,0.00389105058365759,0
SANGEORGIU DE MURES,MURES,0.0785312533163536,1
ZLATNA,ALBA,0.0447304702434051,1
LOAMNES,SIBIU,0.00295663600525624,0
ALBESTII DE ARGES,ARGES,0.00395392814165377,0
VALEA MARE PRAVAT,ARGES,0.21803626089004,1
RAMNICU SARAT,BUZAU,0.0782041214221885,1
CISNADIE,SIBIU,0.00275608635737253,0
MIERCUREA CIUC,HARGHITA,0.00847862731778499,1
PETRILA,HUNEDOARA,0.00730526497795453,0
POPESTI LEORDENI,ILFOV,0.00708771613019728,0
MIZIL,PRAHOVA,0.146768820786143,1
BAIA SPRIE,MARAMURES,0.0380213870302045,1
NEGRESTI,VASLUI,0.0341815829199914,1
AMARA,IALOMITA,0.00389559797428905,0
FUNDULEA,CALARASI,0.0603022377215926,1
URZICENI,IALOMITA,0.0283754876053857,1
FALTICENI,SUCEAVA,0.00753991720875222,0
SIGHETU MARMATIEI,MARAMURES,0.0125493371116284,1
GAESTI,DAMBOVITA,0.0168543254773061,1
BUTURUGENI,GIURGIU,0.0609198169997592,1
ODORHEIU SECUIESC,HARGHITA,0.014640120766755,1
GIURGIU,GIURGIU,0.0456301951073327,1
SAVENI,BOTOSANI,0.0249318801089918,1
SARMASAG,SALAJ,0.0772539025167251,1
PETROSANI,HUNEDOARA,0.015650283171521,1
MAGURELE,ILFOV,0.0224769409868362,1
RECEA,BRASOV,0.0456456456456457,1
ADJUD,VRANCEA,0.0540689655172414,1
CERNAVODA,CONSTANTA,0.0216549789621318,1
VIDELE,TELEORMAN,0.0334362139917696,1
STEFANESTI,VALCEA,0,0
BUCIUMENI,DAMBOVITA,0,0
SIGHISOARA,MURES,0.0501214247166757,1
MEDGIDIA,CONSTANTA,0.0149724770642202,1
REGHIN,MURES,0.0605306559416684,1
LUDUS,MURES,0.0602914389799636,1
CARANSEBES,CARAS-SEVERIN,0.0212871287128713,1
TARGU NEAMT,NEAMT,0.0165117658690923,1
DEJ,CLUJ,0.00975910709778737,1
VATRA DORNEI,SUCEAVA,0.00655174607213282,0
TECUCI,GALATI,0.0395961714960011,1
BRAGADIRU,ILFOV,0.017516543402102,1
VALENII DE MUNTE,PRAHOVA,0.00901390939466936,1
EFORIE,CONSTANTA,0.0320240439423774,1
TEISANI,PRAHOVA,0,0
MIOVENI,ARGES,0.00597068394184554,0
FETESTI,IALOMITA,0.0542822300741065,1
SANTANA,ARAD,0.121605188488042,1
BUSTENI,PRAHOVA,0.00760054892853373,1
SLANIC,PRAHOVA,0.00258774057900695,0
DRAGASANI,VALCEA,0.0546687532603026,1
TARGU OCNA,BACAU,0.0135384122406473,1
SINAIA,PRAHOVA,0.0123746725679704,1
GURA HUMORULUI,SUCEAVA,0.0164506815282347,1
ZERIND,ARAD,0.0179775280898876,1
FAGET,TIMIS,0.00910596026490066,1
PUCIOASA,DAMBOVITA,0.00902053180747223,1
ZARNESTI,BRASOV,0.0247315327041979,1
BUDESTI,CALARASI,0.340622588114227,1
TAUTII-MAGHERAUS,MARAMURES,0.00910891089108911,1
GARCENI,VASLUI,0.0376685170499604,1
